ชื่อรายการ,หมวด,ตำแหน่ง/หน่วยงาน,บริษัทที่ต้องมี,ผู้รับผิดชอบ,วันที่ออก,วันหมดอายุ,รอบทบทวน(เดือน),ไม่มีวันหมดอายุ,เงื่อนไข/หมายเหตุ
ผู้สอนด้านความปลอดภัยสำหรับลูกจ้างทั่วไปและลูกจ้างเข้าใหม่ ตาม พ.ร.บ.,ใบรับรอง / ผู้รับผิดชอบเฉพาะ,เจ้าหน้าที่ทุกตำแหน่งงาน,"LKL, LKS, LKT",,,,,,
บุคลากรเฉพาะรับผิดชอบวัตถุอันตราย (บฉ.),ใบรับรอง / ผู้รับผิดชอบเฉพาะ,ผู้รับผิดชอบความปลอดภัยการเก็บสารเคมี,LKS,,,,,,ขึ้นทะเบียนตามกฎหมายกรมโรงงานอุตสาหกรรม
เจ้าหน้าที่ความปลอดภัยระดับหัวหน้างาน (12 ชม.),ใบรับรอง / ผู้รับผิดชอบเฉพาะ,เจ้าหน้าที่ระดับหัวหน้างาน,"LKL, LKS",,,,,,ผู้ที่มีลูกน้องใต้บังคับบัญชาถือเป็นหัวหน้างานตามกฎหมาย ต้องได้รับการอบรม
เจ้าหน้าที่ความปลอดภัยระดับบริหาร (12 ชม.),ใบรับรอง / ผู้รับผิดชอบเฉพาะ,เจ้าหน้าที่ระดับบริหาร,"LKL, LKS",,,,,,
เจ้าหน้าที่ความปลอดภัยระดับเทคนิค (30 ชม.),ใบรับรอง / ผู้รับผิดชอบเฉพาะ,สถานประกอบการที่มีพนักงานมากกว่า 20 คน,LKT,,,,,,
คณะกรรมการความปลอดภัยฯ ของสถานประกอบกิจการ - คปอ. (12 ชม.),ใบรับรอง / ผู้รับผิดชอบเฉพาะ,คณะกรรมการความปลอดภัยในการทำงาน,"LKL, LKS",,,,,,สถานประกอบกิจการที่มีพนักงานตั้งแต่ 50 คนขึ้นไปต้องมี คปอ.
ทดสอบมาตรฐานระบบไฟฟ้าภายในอาคาร ระดับ 1,ใบรับรอง / ผู้รับผิดชอบเฉพาะ,ช่างไฟฟ้าประจำโรงงาน,LKS,,,,,,
ดับเพลิงขั้นต้น,ใบรับรอง / ผู้รับผิดชอบเฉพาะ,สัดส่วน 40% ของพนักงานในแต่ละแผนก,"LKL, LKS, LKT",,,,,,ผู้จัดอบรมต้องมีใบอนุญาตที่ถูกต้อง (อายุ 3 ปี) · ต้องอบรมครบ 40% ของลูกจ้างทั้งหมด
การป้องกันและระงับอัคคีภัย / ซ้อมอพยพหนีไฟ,ใบรับรอง / ผู้รับผิดชอบเฉพาะ,ทีมผจญเพลิงของบริษัท,"LKL, LKS, LKT",,,,12,,สถานประกอบกิจการที่มีลูกจ้างตั้งแต่ 10 คนขึ้นไป ต้องฝึกซ้อมดับเพลิงและหนีไฟอย่างน้อยปีละ 1 ครั้ง · แนบแผนอพยพและรายชื่อทีมผจญเพลิง
ความปลอดภัยในการทำงานบนที่สูง,ใบรับรอง / ผู้รับผิดชอบเฉพาะ,,LKL,,,,,,
ผู้บังคับปั้นจั่น 4 ผู้ ชนิดอยู่กับที่ / เหนือศีรษะ / ขาสูง (18 ชม.),ใบรับรอง / ผู้รับผิดชอบเฉพาะ,PD 11,LKL,,,,,,จัดอบรมทบทวนเมื่อครบกำหนด หรือเมื่อเกิดอุบัติเหตุ
ผู้บังคับปั้นจั่น 4 ผู้ ชนิดเคลื่อนที่ รถเครน รถเฮี๊ยบ (24 ชม.),ใบรับรอง / ผู้รับผิดชอบเฉพาะ,คนขับรถเฮี๊ยบ,LKL,,,,,,จัดอบรมทบทวนเมื่อครบกำหนด หรือเมื่อเกิดอุบัติเหตุ
ทบทวนการทำงานเกี่ยวกับปั้นจั่น (3 ชม.),ใบรับรอง / ผู้รับผิดชอบเฉพาะ,PD 11,LKL,,,,,,
พัฒนาความรู้ความปลอดภัยในการทำงานสำหรับ จป.วิชาชีพ,ใบรับรอง / ผู้รับผิดชอบเฉพาะ,จป.เทคนิค / เทคนิคขั้นสูง / วิชาชีพ,LKL,,,,12,,ข้อ 23 ต้องได้รับการฝึกอบรมเพิ่มเติมปีละไม่น้อยกว่า 12 ชั่วโมง
แต่งตั้งตัวแทนฝ่ายบริหาร (MR),คำสั่งแต่งตั้ง / คณะกรรมการ,,LKL,,2020-07-10,,,TRUE,จนกว่ามีการเปลี่ยนแปลง
แต่งตั้งตัวแทนฝ่ายบริหารด้านคุณภาพ (QMR),คำสั่งแต่งตั้ง / คณะกรรมการ,,LKL,,2020-07-10,,,TRUE,จนกว่ามีการเปลี่ยนแปลง
แต่งตั้งตัวแทนฝ่ายบริหารด้านสิ่งแวดล้อม (EMR),คำสั่งแต่งตั้ง / คณะกรรมการ,,LKL,,2020-07-10,,,TRUE,จนกว่ามีการเปลี่ยนแปลง
คณะกรรมการการจัดการพลังงานฯ,คำสั่งแต่งตั้ง / คณะกรรมการ,,LKL,,2020-11-02,,,TRUE,จนกว่ามีการเปลี่ยนแปลง
คณะผู้ตรวจประเมินการจัดการพลังงานฯ,คำสั่งแต่งตั้ง / คณะกรรมการ,,LKL,,2021-05-11,,24,,วาระ 2 ปี
แต่งตั้งผู้รับผิดชอบด้านพลังงานในโรงงานควบคุม (ผชร.),คำสั่งแต่งตั้ง / คณะกรรมการ,,LKL,,,,,TRUE,จนกว่ามีการเปลี่ยนแปลง · ยังไม่ระบุวันแต่งตั้ง
แต่งตั้งผู้รับผิดชอบด้านพลังงานอาวุโส (ผอส.),คำสั่งแต่งตั้ง / คณะกรรมการ,,LKL,,,,,TRUE,จนกว่ามีการเปลี่ยนแปลง · ยังไม่ระบุวันแต่งตั้ง
บุคลากรเฉพาะรับผิดชอบวัตถุอันตราย (บฉ.),คำสั่งแต่งตั้ง / คณะกรรมการ,,LKL,,,,,TRUE,จนกว่ามีการเปลี่ยนแปลง · ยังไม่ระบุวันแต่งตั้ง
ผู้ตรวจติดตามภายใน (Internal Auditor),คำสั่งแต่งตั้ง / คณะกรรมการ,,LKL,,,,,TRUE,อ้างอิงแผนการตรวจประจำปี
คณะกรรมการความปลอดภัยฯ (คปอ.) : LKL,คำสั่งแต่งตั้ง / คณะกรรมการ,,LKL,,2023-09-15,2025-09-15,,,วาระ 2 ปี — หมดอายุแล้ว ต้องเลือกตั้งใหม่
คณะกรรมการสวัสดิการฯ : LKL,คำสั่งแต่งตั้ง / คณะกรรมการ,,LKL,,2024-03-01,2026-02-28,,,วาระ 2 ปี — หมดอายุแล้ว ต้องเลือกตั้งใหม่
คณะทำงานกองอำนวยการฉุกเฉินฯ,คำสั่งแต่งตั้ง / คณะกรรมการ,,LKL,,2023-08-28,,,TRUE,จนกว่ามีการเปลี่ยนแปลง
คณะกรรมการตรวจประเมิน 5 ส.,คำสั่งแต่งตั้ง / คณะกรรมการ,,LKL,,2021-05-28,,,TRUE,จนกว่ามีการเปลี่ยนแปลง
